headword,pos,CEFR,CoreInventory_1,CoreInventory_2,Threshold,
poor,adjective,A1,,,,
practice,noun,A1,,,,
present,noun,A1,,,,
pretty,adjective,A1,,,,
price,noun,A1,,,,
problem,noun,A1,,,,
push,verb,A1,,,,
put,verb,A1,,,,
quarter,noun,A1,,,,
question,noun,A1,,,,
quiet,adjective,A1,,,,
read,verb,A1,,,,
ready,adjective,A1,,,,
real,adjective,A1,,,,
really,adverb,A1,,,,
reason,noun,A1,,,,
red,adjective,A1,,,,
remember,verb,A1,,,,
result,noun,A1,,,,
rich,adjective,A1,,,,
ride,verb,A1,,,,
right,adjective,A1,,,,
right,adverb,A1,,,,
ring,verb,A1,,,,
role,noun,A1,,,,
row,noun,A1,,,,
rude,adjective,A1,,,,
rule,noun,A1,,,,
run,verb,A1,,,,
sad,adjective,A1,,,,
sale,noun,A1,,,,
same,adjective,A1,,,,
save,verb,A1,,,,
say,verb,A1,,,,
science,noun,A1,,,,
section,noun,A1,,,,
see,verb,A1,,,,
sell,verb,A1,,,,
sentence,noun,A1,,,,
set,verb,A1,,,,
share,verb,A1,,,,
shopping,noun,A1,,,,
short,adjective,A1,,,,
short,adverb,A1,,,,
shoulder,noun,A1,,,,
show,verb,A1,,,,
shy,adjective,A1,,,,
sick,adjective,A1,,,,
side,noun,A1,,,,
sight,noun,A1,,,,
sign,noun,A1,,,,
sing,verb,A1,,,,
sister,noun,A1,,,,
sit,verb,A1,,,,
site,noun,A1,,,,
slow,adjective,A1,,,,
small,adjective,A1,,,,
smart,adjective,A1,,,,
smell,noun,A1,,,,
smoke,noun,A1,,,,
social,adjective,A1,,,,
solve,verb,A1,,,,
sorry,adjective,A1,,,,
special,adjective,A1,,,,
spell,noun,A1,,,,
spend,verb,A1,,,,
spot,noun,A1,,,,
spring,noun,A1,,,,
stand,noun,A1,,,,
start,noun,A1,,,,
start,verb,A1,,,,
stay,verb,A1,,,,
step,verb,A1,,,,
still,adjective,A1,,,,
stone,noun,A1,,,,
stop,noun,A1,,,,
stop,verb,A1,,,,
strange,adjective,A1,,,,
strict,adjective,A1,,,,
strong,adjective,A1,,,,
study,verb,A1,,,,
subject,noun,A1,,,,
suggestion,noun,A1,,,,
sum,noun,A1,,,,
summer,noun,A1,,,,
sun,noun,A1,,,,
super,adjective,A1,,,,
sure,adjective,A1,,,,
sweet,adjective,A1,,,,
swim,verb,A1,,,,
take,verb,A1,,,,
talk,verb,A1,,,,
tall,adjective,A1,,,,
tea,noun,A1,,,,
tell,verb,A1,,,,
terrible,adjective,A1,,,,
test,noun,A1,,,,
thick,adjective,A1,,,,
thin,adjective,A1,,,,
thing,noun,A1,,,,
think,verb,A1,,,,
throw,noun,A1,,,,
tight,adjective,A1,,,,
time,noun,A1,,,,
today,noun,A1,,,,
tomorrow,noun,A1,,,,
too,adverb,A1,,,,
top,noun,A1,,,,
topic,noun,A1,,,,
touch,noun,A1,,,,
train,noun,A1,,,,
travel,verb,A1,,,,
trip,noun,A1,,,,
true,adjective,A1,,,,
turn,noun,A1,,,,
turn,verb,A1,,,,
type,noun,A1,,,,
ugly,adjective,A1,,,,
umbrella,noun,A1,,,,
use,verb,A1,,,,
visit,noun,A1,,,,
visit,verb,A1,,,,
wait,verb,A1,,,,
wake,noun,A1,,,,
walk,verb,A1,,,,
want,verb,A1,,,,
warm,adjective,A1,,,,
wash,noun,A1,,,,
wash,verb,A1,,,,
watch,verb,A1,,,,
water,noun,A1,,,,
way,noun,A1,,,,
wear,verb,A1,,,,
week,noun,A1,,,,
well,adjective,A1,,,,
well,adverb,A1,,,,
white,adjective,A1,,,,
win,verb,A1,,,,
wind,noun,A1,,,,
wish,noun,A1,,,,
woman,noun,A1,,,,
word,noun,A1,,,,
work,noun,A1,,,,
work,verb,A1,,,,
worker,noun,A1,,,,
worry,noun,A1,,,,
wrong,adjective,A1,,,,
year,noun,A1,,,,
yellow,adjective,A1,,,,
yet,adverb,A1,,,,
young,adjective,A1,,,,
deliberation,noun,C2,,,,
integrity,noun,C2,,,,
address,verb,C1,,,,
analyze,verb,C1,,,,
apply,verb,C1,,,,
appreciate,verb,C1,,,,
assign,verb,C1,,,,
assume,verb,C1,,,,
attend,verb,C1,,,,
attract,verb,C1,,,,
communicate,verb,C1,,,,
conclude,verb,C1,,,,
confirm,verb,C1,,,,
connect,verb,C1,,,,
consider,verb,C1,,,,
control,verb,C1,,,,
coordinate,verb,C1,,,,
create,verb,C1,,,,
demonstrate,verb,C1,,,,
access,noun,C1,,,,
account,noun,C1,,,,
acquisition,noun,C1,,,,
activity,noun,C1,,,,
application,noun,C1,,,,
appreciation,noun,C1,,,,
approach,noun,C1,,,,
approval,noun,C1,,,,
assistance,noun,C1,,,,
assumption,noun,C1,,,,
attention,noun,C1,,,,
attitude,noun,C1,,,,
audience,noun,C1,,,,
authority,noun,C1,,,,
awareness,noun,C1,,,,
basis,noun,C1,,,,
budget,noun,C1,,,,
adequate,adjective,C1,,,,
capable,adjective,C1,,,,
comprehensive,adjective,C1,,,,
consistent,adjective,C1,,,,
critical,adjective,C1,,,,
diverse,adjective,C1,,,,
efficient,adjective,C1,,,,
ethical,adjective,C1,,,,
flexible,adjective,C1,,,,
fundamental,adjective,C1,,,,
innovative,adjective,C1,,,,
integrated,adjective,C1,,,,
logical,adjective,C1,,,,
objective,adjective,C1,,,,
rigorous,adjective,C1,,,,
significant,adjective,C1,,,,
substantial,adjective,C1,,,,
technical,adjective,C1,,,,
theoretical,adjective,C1,,,,
unique,adjective,C1,,,,
valid,adjective,C1,,,,
varied,adjective,C1,,,,
widespread,adjective,C1,,,,
abrupt,adjective,C2,,,,
ambiguous,adjective,C2,,,,
blatant,adjective,C2,,,,
coherent,adjective,C2,,,,
complimentary,adjective,C2,,,,
contingent,adjective,C2,,,,
deliberate,adjective,C2,,,,
discreet,adjective,C2,,,,
elusive,adjective,C2,,,,
equivocal,adjective,C2,,,,
erratic,adjective,C2,,,,
indispensable,adjective,C2,,,,
insidious,adjective,C2,,,,
irreverent,adjective,C2,,,,
honestly,adverb,C1,,,,
madly,adverb,C1,,,,
acutely,adverb,C2,,,,
consequently,adverb,C2,,,,
